Season,Team,Abbreviation,Win%,Rating,Division,Conference
2023-24,Florida Panthers,FLA,0.61,84.4,Atlantic,Eastern
2023-24,Boston Bruins,BOS,0.598,83.9,Atlantic,Eastern
2023-24,Toronto Maple Leafs,TOR,0.543,81.7,Atlantic,Eastern
2023-24,Tampa Bay Lightning,TBL,0.549,82,Atlantic,Eastern
2023-24,Detroit Red Wings,DET,0.47,78.8,Atlantic,Eastern
2023-24,Buffalo Sabres,BUF,0.476,79,Atlantic,Eastern
2023-24,Ottawa Senators,OTT,0.402,76.1,Atlantic,Eastern
2023-24,Montreal Canadiens,MTL,0.402,76.1,Atlantic,Eastern
2023-24,Dallas Stars,DAL,0.616,84.6,Central,Western
2023-24,Winnipeg Jets,WPG,0.634,85.4,Central,Western
2023-24,Colorado Avalanche,COL,0.604,84.2,Central,Western
2023-24,Nashville Predators,NSH,0.549,82,Central,Western
2023-24,St. Louis Blues,STL,0.488,79.5,Central,Western
2023-24,Minnesota Wild,MIN,0.494,79.8,Central,Western
2023-24,Chicago Blackhawks,CHI,0.28,71.2,Central,Western
2023-24,New York Rangers,NYR,0.622,84.9,Metropolitan,Eastern
2023-24,Carolina Hurricanes,CAR,0.628,85.1,Metropolitan,Eastern
2023-24,New York Islanders,NYI,0.512,80.5,Metropolitan,Eastern
2023-24,Washington Capitals,WSH,0.506,80.2,Metropolitan,Eastern
2023-24,Pittsburgh Penguins,PIT,0.5,80,Metropolitan,Eastern
2023-24,Philadelphia Flyers,PHI,0.482,79.3,Metropolitan,Eastern
2023-24,New Jersey Devils,NJD,0.463,78.5,Metropolitan,Eastern
2023-24,Columbus Blue Jackets,CBJ,0.366,74.6,Metropolitan,Eastern
2023-24,Arizona Coyotes,ARI,0.421,76.8,Pacific,Western
2023-24,Vancouver Canucks,VAN,0.628,85.1,Pacific,Western
2023-24,Edmonton Oilers,EDM,0.573,82.9,Pacific,Western
2023-24,Los Angeles Kings,LAK,0.561,82.4,Pacific,Western
2023-24,Vegas Golden Knights,VGK,0.53,81.2,Pacific,Western
2023-24,Calgary Flames,CGY,0.457,78.3,Pacific,Western
2023-24,Seattle Kraken,SEA,0.457,78.3,Pacific,Western
2023-24,Anaheim Ducks,ANA,0.323,72.9,Pacific,Western
2023-24,San Jose Sharks,SJS,0.256,70.2,Pacific,Western
2022-23,Boston Bruins,BOS,0.756,90.2,Atlantic,Eastern
2022-23,Toronto Maple Leafs,TOR,0.628,85.1,Atlantic,Eastern
2022-23,Tampa Bay Lightning,TBL,0.549,82,Atlantic,Eastern
2022-23,Florida Panthers,FLA,0.524,81,Atlantic,Eastern
2022-23,Buffalo Sabres,BUF,0.482,79.3,Atlantic,Eastern
2022-23,Ottawa Senators,OTT,0.476,79,Atlantic,Eastern
2022-23,Detroit Red Wings,DET,0.445,77.8,Atlantic,Eastern
2022-23,Montreal Canadiens,MTL,0.354,74.2,Atlantic,Eastern
2022-23,Colorado Avalanche,COL,0.573,82.9,Central,Western
2022-23,Dallas Stars,DAL,0.61,84.4,Central,Western
2022-23,Minnesota Wild,MIN,0.555,82.2,Central,Western
2022-23,Winnipeg Jets,WPG,0.518,80.7,Central,Western
2022-23,Nashville Predators,NSH,0.482,79.3,Central,Western
2022-23,St. Louis Blues,STL,0.433,77.3,Central,Western
2022-23,Chicago Blackhawks,CHI,0.311,72.4,Central,Western
2022-23,Carolina Hurricanes,CAR,0.61,84.4,Metropolitan,Eastern
2022-23,New Jersey Devils,NJD,0.604,84.2,Metropolitan,Eastern
